date,open,high,low,close,volume
2020-01-03,323.58,324.83,321.16,322.47,2102775
2020-01-10,320.49,327.46,320.38,325.7,4501624
2020-01-17,326.4,332.18,325.92,332.03,5035299
2020-01-24,330.9,332.95,327.36,328.74,3835068
2020-01-31,323.03,328.63,320.75,321.75,7057601
2020-02-07,323.36,334.18,323.25,332.2,5207383
2020-02-14,331.24,338.1,331.23,337.53,4440538
2020-02-21,336.58,339.06,332.58,333.47,5052652
2020-02-28,323.09,325.82,285.55,295.85,19962893
2020-03-06,298.22,313.8,290.25,297.36,18867729
2020-03-13,275.29,288.51,247.86,270.91,20988433
2020-03-20,241.19,256.89,228.1,228.87,30549431
2020-03-27,227.97,262.8,218.29,253.45,18320853
2020-04-03,255.71,263.33,243.91,248.23,9336736
2020-04-09,257.87,281.18,256.76,278.27,10072598
2020-04-17,277.14,287.29,271.43,286.67,7056515
2020-04-24,282.6,286.21,272.03,283.08,6136455
2020-05-01,285.1,294.87,281.53,282.73,6262188
2020-05-08,280.72,292.78,279.16,292.49,4574158
2020-05-15,290.34,294.17,276.4,286.22,7348042
2020-05-22,293.01,297.87,291.96,295.38,5092474
2020-05-29,302.03,306.83,296.87,304.52,4540260
2020-06-05,303.64,321.28,303.07,319.28,5086242
2020-06-12,320.27,323.4,298.62,304.26,7666331
2020-06-19,298.02,315.63,296.77,308.68,6277640
2020-06-26,307.96,314.47,299.45,300.25,5665387
2020-06-29,301.4,304.39,298.95,304.39,849693
